Hymnal,Number,Name,TranslationNumber_HymnalE
A,A1,Almagtig is ons God,
A,A10,Grote God,E7
A,A100,Laat, Heer, jou vrede deur my vloei,E139
A,A101,Ontwaak en laat ons ylings,E120
A,A102,Ontwaak!,E121
A,A103,Staan op vir Jesus,E152
A,A104,Staan vas teen versoeking,E168
A,A105,Steeds in gedagte,E146
A,A106,Wees waaksaam,
A,A107,Werk, want die nag kom nader (Mason),E167
A,A108,Werk, want die nag kom nader (Hughes),
A,A109,Wyl ons nog in jeug se lente,E165
A,A11,Halleluja! Ons loof U, Heer,
A,A110,Dan is my God altyd daar,
A,A111,Dapper voorwaarts strydend,E219
A,A112,Die almag van sy hand,
A,A113,Die Heer is so goed vir my,
A,A114,Die Heer, my herder, sorg vir my,E216
A,A115,Die kleine kind verlang,E170
A,A116,Eendag sal daar vrede wees,E209
A,A117,Ek bewaar jou,E187
A,A118,Ek is Koning se kind,E189
A,A119,Geen menslike raad,E203
A,A12,Halleluja, skone môre!,E12
A,A120,God is getrou!,E206
A,A121,Gods dade is volmaak en goed,
A,A122,Grote God, liewe Heer,
A,A123,In hierdie tyd,E190
A,A124,In jou tempel,
A,A125,Jesus, Redder, lei my weë,E196
A,A126,Jesus, Sielevriend almagtig,E195
A,A127,Lei my weg deur woeste storme,E208
A,A128,Met U, o Heer, verbonde,E230
A,A129,My God, ek wil getrou volhard,
A,A13,Heilig, heilig, heilig,E14
A,A130,My Jesus is my beste Vriend,E202
A,A131,n Vaste burg is onse God,E172
A,A132,Na die oorwinning,E222
A,A133,O hoe soet die naam van Jesus,E213
A,A134,Ons geloof beheer ons lewe,E207
A,A135,Ons het geduld so nodig,E224
A,A136,Op die lewenspad,
A,A137,Op reis deur vele lande,E218
A,A138,Ster wat ek bewonder,E210
A,A139,Tel jou gawes,E177
A,A14,Hoe groot is U (Hine),E15
A,A140,U lei my na waters,
A,A141,U lei u volk so trou,
A,A142,U woord is so kosbaar,
A,A143,Van lig-omstraalde Sionsberg,E205
A,A144,Vir ewig by die Heer,E178
A,A145,Volg en vertrou,E220
A,A146,Wag en wees tevrede,E223
A,A147,Wat 'n Vriend het ons in Jesus,E226
A,A148,Bly by my, Heer,E232
A,A149,By U, Jesus, vind ek vrede,
A,A15,Hoe groot is U! (Isaacs),
A,A150,Elk' uur, ja elke stond',E245
A,A151,Gee my 'n reine hart,
A,A152,Heer, bewaar my siel,E248
A,A153,Heer, neem dan nou my hande,E262
A,A154,Heiland, soos 'n Herder lei ons,E259
A,A155,Hier knielend voor my Koning,E236
A,A156,Ken my, o Heer,
A,A157,My hart, O Heer, is in u hande,E567
A,A158,Nader, my God, tot U,E252
A,A159,Neem my hand, liewe Heer,E258
A,A16,Hoe lieflik op die Sabbatdag,E16
A,A160,O Heer, geheel gegewe,E238
A,A161,Soos God my lei,E247
A,A162,Soos 'n hert,E234
A,A163,Soos U dit wil, Heer!,E243
A,A164,Wees my Gids, o groot Verlosser,E242
A,A165,Betésda staan ope,E270
A,A166,Daar is 'n roep so kosbaar (Tromp),E303
A,A167,Daar is 'n roep so kosbaar (McGranahan),
A,A168,Daar vloei 'n stroom (Gohle),E267
A,A169,Daar vloei 'n stroom (Vollweiler),
A,A17,Hy is my God,
A,A170,Ek weet van 'n stad,E287
A,A171,God bied nou nog deur die Heiland,E281
A,A172,Hoor Jesus roep,E282
A,A173,Iedereen wat luister,E308
A,A174,Jesus straal in glorie, prag,E272
A,A175,Kom na die bron van die lewe,E275
A,A176,Kom na die fees so groot,E277
A,A177,Kom saam met my,E296
A,A178,O siel, kom na die Heer,
A,A179,O kom nou na Jesus (Main),E295
A,A18,In eerbied, Heer,
A,A180,O kom nou na Jesus (Bailey),
A,A181,Saggies en inniglik (Thompson),E300
A,A182,Saggies en inniglik (Davids),
A,A183,Soet kom die roep,
A,A184,Vars van die troon van glorie,E279
A,A185,Waar vind ek Jesus?,E297
A,A186,Woorde wat lewe bring,E310
A,A187,Aan die kruis, Heer, het U gely,
A,A188,Daar is 'n bron,E336
A,A189,Diepe bepeinsing,E412
A,A19,Jesus, Jy's wonderbaar,
A,A190,Ek hoor sy liefdesroep,E318
A,A191,Ek kom deemoedig tot U, Heer,E340
A,A192,Ek lewe van barmhartigheid,E320
A,A193,Ek weet van niks so lieflik,E319
A,A194,Ek word bevry,
A,A195,Gaan my nie verby, o Heiland,E333
A,A196,Genade groot (Amerikaanse volkswysie),E311
A,A197,Genade groot (Bailey),
A,A198,Genade smag ek, Heer,E321
A,A199,Hy is my Leidsman,
A,A2,Dankie vir 'n vriend soos Jy,
A,A20,My God is mag,
A,A200,In Jesus het ek heil gevonde,E323
A,A201,Jesus, my Redder (Davids),
A,A202,Jesus, wat 'n Vriend vir sondaars,E329
A,A203,n Bron van seën gevonde,E326
A,A204,n Genadestroom,E339
A,A205,O blye dag,
A,A206,O welke vreugde bring verlossing,E331
A,A207,U is vir my so innig goed,
A,A208,Ek jubel luid in louter vreugde,E361
A,A209,Genade bring versoening,E352
A,A21,n Duisend stemme sing,
A,A210,Heerlike, lieflike stonde,E345
A,A211,Kom, deel die Heer,E347
A,A212,O, hoe salig is die siele,E355
A,A213,Ryke Koning vol genade,
A,A214,U bring my verlossing, Heer,E360
A,A215,Verlos is ek, salig in Jesus,E357
A,A216,Welke reine stroom van liefde,E356
A,A217,As vrede, so kosbaar,E400
A,A218,By Hom te wees,E401
A,A219,Die liefde Gods,E396
A,A22,n Lied van lof en prys,
A,A220,Ek ken 'n hart, 'n heilig een,E375
A,A221,Ek wil graag soos Jesus liefhê,
A,A222,God is die liefde,E390
A,A223,God is liefde,
A,A224,Hart met hart in een verbonde,E368
A,A225,Het jy My lief?,
A,A226,Hoe heerlik, hoe salig met Jesus,E371
A,A227,Ja, 'n Vriend het ek gevonde (Onbekend),E373
A,A228,Ja, 'n Vriend het ek gevonde (Isaacs),
A,A229,Kom, almal, sing nou juigend saam,E365
A,A23,n Vuurtjie steek U aan,
A,A230,Meer wil ek U bemin,E384
A,A231,O liefde, goue sonneskyn,E386
A,A232,O Meester van 'n liefdeshart,E387
A,A233,O, hoe kosbaar is die stonde,E385
A,A234,O, kyk tog hoe lieflik,E364
A,A235,Oor die weiveld groen en geil,E379
A,A236,Praat ek mense eng'letale,
A,A237,Salige vrede,E392
A,A238,So innig, innig is Jesusliefde,E388
A,A239,Stil in die gees,
A,A24,O glorieryke dag van lig,E26
A,A240,U bid ek aan, o mag van liefde,E376
A,A241,Bly Christus hier getrou steeds,E430
